seed_id,stage,judge,ai_probability
W7154276517,0,opus47,0.92
W7154276517,1,opus47,0.86
W7154276517,2,opus47,0.85
W7154276517,3,opus47,0.92
W7131742894,0,opus47,0.05
W7131742894,1,opus47,0.82
W7131742894,2,opus47,0.78
W7131742894,3,opus47,0.85
W7117419394,0,opus47,0.75
W7117419394,1,opus47,0.88
W7117419394,2,opus47,0.85
W7117419394,3,opus47,0.85
W7153600070,0,opus47,0.92
W7153600070,1,opus47,0.92
W7153600070,2,opus47,0.88
W7153600070,3,opus47,0.92
W7153475872,0,opus47,0.95
W7153475872,1,opus47,0.92
W7153475872,2,opus47,0.92
W7153475872,3,opus47,0.92
W7115025248,0,opus47,0.88
W7115025248,1,opus47,0.87
W7115025248,2,opus47,0.85
W7115025248,3,opus47,0.92
W7115008325,0,opus47,0.85
W7115008325,1,opus47,0.92
W7115008325,2,opus47,0.85
W7115008325,3,opus47,0.92
W7126059076,0,opus47,0.35
W7126059076,1,opus47,0.92
W7126059076,2,opus47,0.88
W7126059076,3,opus47,0.92
W7126018663,0,opus47,0.35
W7126018663,1,opus47,0.92
W7126018663,2,opus47,0.85
W7126018663,3,opus47,0.95
W7153750258,0,opus47,0.95
W7153750258,1,opus47,0.85
W7153750258,2,opus47,0.92
W7153750258,3,opus47,0.92
W7153781896,0,opus47,0.97
W7153781896,1,opus47,0.95
W7153781896,2,opus47,0.92
W7153781896,3,opus47,0.92
W7131071032,0,opus47,0.95
W7131071032,1,opus47,0.92
W7131071032,2,opus47,0.85
W7131071032,3,opus47,0.92
W7131132383,0,opus47,0.97
W7131132383,1,opus47,0.92
W7131132383,2,opus47,0.85
W7131132383,3,opus47,0.92
W7107944698,0,opus47,0.92
W7107944698,1,opus47,0.92
W7107944698,2,opus47,0.85
W7107944698,3,opus47,0.92
W7107947259,0,opus47,0.95
W7107947259,1,opus47,0.92
W7107947259,2,opus47,0.88
W7107947259,3,opus47,0.92
W7134028471,0,opus47,0.75
W7134028471,1,opus47,0.88
W7134028471,2,opus47,0.85
W7134028471,3,opus47,0.85
W7160845187,0,opus47,0.85
W7160845187,1,opus47,0.92
W7160845187,2,opus47,0.85
W7160845187,3,opus47,0.92
W7160828296,0,opus47,0.85
W7160828296,1,opus47,0.92
W7160828296,2,opus47,0.85
W7160828296,3,opus47,0.85
W7160248259,0,opus47,0.92
W7160248259,1,opus47,0.92
W7160248259,2,opus47,0.88
W7160248259,3,opus47,0.92
W7160319602,0,opus47,0.92
W7160319602,1,opus47,0.88
W7160319602,2,opus47,0.88
W7160319602,3,opus47,0.92
