seed_id,stage,n_judges,ai_p_mean,ai_p_min,ai_p_max
W7154276517,0,2,0.5100,0.1000,0.9200
W7154276517,1,2,0.5800,0.3000,0.8600
W7154276517,2,2,0.4750,0.1000,0.8500
W7154276517,3,2,0.6600,0.4000,0.9200
W7131742894,0,2,0.0750,0.0500,0.1000
W7131742894,1,2,0.7600,0.7000,0.8200
W7131742894,2,2,0.5900,0.4000,0.7800
W7131742894,3,2,0.5250,0.2000,0.8500
W7117419394,0,2,0.4250,0.1000,0.7500
W7117419394,1,2,0.7900,0.7000,0.8800
W7117419394,2,2,0.4500,0.0500,0.8500
W7117419394,3,2,0.4500,0.0500,0.8500
W7153600070,0,2,0.9100,0.9000,0.9200
W7153600070,1,2,0.8600,0.8000,0.9200
W7153600070,2,2,0.4900,0.1000,0.8800
W7153600070,3,2,0.5600,0.2000,0.9200
W7153475872,0,2,0.8250,0.7000,0.9500
W7153475872,1,2,0.9100,0.9000,0.9200
W7153475872,2,2,0.5100,0.1000,0.9200
W7153475872,3,2,0.5600,0.2000,0.9200
W7115025248,0,2,0.8900,0.8800,0.9000
W7115025248,1,2,0.7850,0.7000,0.8700
W7115025248,2,2,0.4750,0.1000,0.8500
W7115025248,3,2,0.4850,0.0500,0.9200
W7115008325,0,2,0.7750,0.7000,0.8500
W7115008325,1,2,0.8100,0.7000,0.9200
W7115008325,2,2,0.5750,0.3000,0.8500
W7115008325,3,2,0.5100,0.1000,0.9200
W7126059076,0,2,0.6250,0.3500,0.9000
W7126059076,1,2,0.8850,0.8500,0.9200
W7126059076,2,2,0.4900,0.1000,0.8800
W7126059076,3,2,0.7850,0.6500,0.9200
W7126018663,0,2,0.6000,0.3500,0.8500
W7126018663,1,2,0.5100,0.1000,0.9200
W7126018663,2,2,0.6250,0.4000,0.8500
W7126018663,3,2,0.5750,0.2000,0.9500
W7153750258,0,2,0.9500,0.9500,0.9500
W7153750258,1,2,0.5250,0.2000,0.8500
W7153750258,2,2,0.6600,0.4000,0.9200
W7153750258,3,2,0.8600,0.8000,0.9200
W7153781896,0,2,0.9350,0.9000,0.9700
W7153781896,1,2,0.9250,0.9000,0.9500
W7153781896,2,2,0.5100,0.1000,0.9200
W7153781896,3,2,0.5100,0.1000,0.9200
W7131071032,0,2,0.9500,0.9500,0.9500
W7131071032,1,2,0.8850,0.8500,0.9200
W7131071032,2,2,0.4750,0.1000,0.8500
W7131071032,3,2,0.6100,0.3000,0.9200
W7131132383,0,2,0.9350,0.9000,0.9700
W7131132383,1,2,0.8100,0.7000,0.9200
W7131132383,2,2,0.4750,0.1000,0.8500
W7131132383,3,2,0.5350,0.1500,0.9200
W7107944698,0,2,0.9100,0.9000,0.9200
W7107944698,1,2,0.9100,0.9000,0.9200
W7107944698,2,2,0.4750,0.1000,0.8500
W7107944698,3,2,0.6600,0.4000,0.9200
W7107947259,0,2,0.8750,0.8000,0.9500
W7107947259,1,2,0.8850,0.8500,0.9200
W7107947259,2,2,0.4900,0.1000,0.8800
W7107947259,3,2,0.5350,0.1500,0.9200
W7134028471,0,2,0.7250,0.7000,0.7500
W7134028471,1,2,0.8650,0.8500,0.8800
W7134028471,2,2,0.4750,0.1000,0.8500
W7134028471,3,2,0.4750,0.1000,0.8500
W7160845187,0,2,0.8750,0.8500,0.9000
W7160845187,1,2,0.9350,0.9200,0.9500
W7160845187,2,2,0.4750,0.1000,0.8500
W7160845187,3,2,0.6100,0.3000,0.9200
W7160828296,0,2,0.7750,0.7000,0.8500
W7160828296,1,2,0.8100,0.7000,0.9200
W7160828296,2,2,0.4750,0.1000,0.8500
W7160828296,3,2,0.6250,0.4000,0.8500
W7160248259,0,2,0.8350,0.7500,0.9200
W7160248259,1,2,0.9100,0.9000,0.9200
W7160248259,2,2,0.5900,0.3000,0.8800
W7160248259,3,2,0.8600,0.8000,0.9200
W7160319602,0,2,0.8600,0.8000,0.9200
W7160319602,1,2,0.6150,0.3500,0.8800
W7160319602,2,2,0.5400,0.2000,0.8800
W7160319602,3,2,0.8100,0.7000,0.9200
