seed_id,baseline_panel_ai_p,variant_A_panel_ai_p,variant_A_opus_ai_p,variant_A_gemini25flash_ai_p,variant_B_panel_ai_p,variant_B_opus_ai_p,variant_B_gemini25flash_ai_p,mean_variant_panel_ai_p
W7107944698,0.9100,0.8600,0.9200,0.8000,0.4900,0.8800,0.1000,0.6750
W7107947259,0.8850,0.8850,0.9200,0.8500,0.4650,0.8800,0.0500,0.6750
W7115008325,0.8100,0.9100,0.9200,0.9000,0.4750,0.8500,0.1000,0.6925
W7115025248,0.7850,0.9100,0.9200,0.9000,0.5400,0.8800,0.2000,0.7250
W7117419394,0.7900,0.4850,0.9200,0.0500,0.4750,0.8500,0.1000,0.4800
W7126018663,0.5100,0.9100,0.9200,0.9000,0.5250,0.8500,0.2000,0.7175
W7126059076,0.8850,0.8850,0.9200,0.8500,0.4500,0.7500,0.1500,0.6675
W7131071032,0.8850,0.8100,0.9200,0.7000,0.4750,0.8500,0.1000,0.6425
W7131132383,0.8100,0.8600,0.9200,0.8000,0.5250,0.8500,0.2000,0.6925
W7131742894,0.7600,0.8250,0.8500,0.8000,0.4750,0.8500,0.1000,0.6500
W7134028471,0.8650,0.8100,0.9200,0.7000,0.4500,0.8500,0.0500,0.6300
W7153475872,0.9100,0.6350,0.9200,0.3500,0.5750,0.8500,0.3000,0.6050
W7153600070,0.8600,0.8850,0.9200,0.8500,0.4750,0.8500,0.1000,0.6800
W7153750258,0.5250,0.8100,0.9200,0.7000,0.4500,0.8500,0.0500,0.6300
W7153781896,0.9250,0.8850,0.9200,0.8500,0.5250,0.8500,0.2000,0.7050
