seed_id,condition,mean_sent_len,var_sent_len,ttr,word_count
W7107944698,baseline,17.909,51.083,0.6041,394
W7107944698,variant_A,17.130,61.592,0.6269,394
W7107944698,variant_B,16.310,124.214,0.5708,473
W7107947259,baseline,21.300,104.910,0.5211,426
W7107947259,variant_A,17.200,109.920,0.5256,430
W7107947259,variant_B,17.037,122.850,0.5000,460
W7115008325,baseline,24.529,69.661,0.6571,417
W7115008325,variant_A,26.588,85.183,0.6659,452
W7115008325,variant_B,20.909,68.174,0.6174,460
W7115025248,baseline,23.588,95.066,0.6633,401
W7115025248,variant_A,22.471,78.720,0.7016,382
W7115025248,variant_B,24.000,168.696,0.5580,552
W7117419394,baseline,27.600,250.507,0.6063,414
W7117419394,variant_A,27.467,221.316,0.6553,412
W7117419394,variant_B,19.040,143.558,0.5966,476
W7126018663,baseline,25.312,82.965,0.6395,405
W7126018663,variant_A,21.833,67.917,0.6819,393
W7126018663,variant_B,20.174,110.318,0.5776,464
W7126059076,baseline,23.000,63.412,0.6726,391
W7126059076,variant_A,20.947,87.945,0.6884,398
W7126059076,variant_B,19.480,125.690,0.6016,487
W7131071032,baseline,21.048,114.331,0.6131,442
W7131071032,variant_A,19.318,78.762,0.6612,425
W7131071032,variant_B,20.226,118.884,0.5167,627
W7131132383,baseline,26.389,144.793,0.6400,475
W7131132383,variant_A,20.783,76.605,0.6611,478
W7131132383,variant_B,20.226,145.659,0.5455,627
W7131742894,baseline,24.000,112.842,0.5877,456
W7131742894,variant_A,25.235,104.415,0.6061,429
W7131742894,variant_B,17.394,144.845,0.5575,574
W7134028471,baseline,20.000,132.600,0.6400,400
W7134028471,variant_A,22.550,180.248,0.6364,451
W7134028471,variant_B,21.522,110.945,0.5859,495
W7153475872,baseline,21.238,89.800,0.6570,446
W7153475872,variant_A,21.864,106.390,0.6528,481
W7153475872,variant_B,20.185,92.373,0.6183,545
W7153600070,baseline,19.773,109.448,0.6207,435
W7153600070,variant_A,19.955,99.316,0.6856,439
W7153600070,variant_B,18.793,95.681,0.5890,545
W7153750258,baseline,27.000,82.000,0.5694,432
W7153750258,variant_A,23.579,56.349,0.6071,448
W7153750258,variant_B,21.760,182.262,0.5533,544
W7153781896,baseline,27.733,96.196,0.5889,416
W7153781896,variant_A,25.133,127.716,0.6419,377
W7153781896,variant_B,22.238,238.181,0.5610,467
